Context,,count,mean,std,mean - std,,min,25%,50%,75%,max,
clima,med3m_umidinst,1061271,"66,6210440029237","8,30602483426903","58,3150191686547","-0,888955997076337","21,91","60,86","67,51","73,08","84,68",
clima,med6m_umidinst,1061451,"67,6846969667889","6,25172649786351","61,4329704689254","-0,435303033211127","21,91","63,19","68,12","71,95","80,93",
clima,med7d_formituinst,1061451,"70,3062402598212","6,95485481022677","63,3513854495944","-1,96375974017884","33,4","67,66","72,27","74,64","82,04",
clima,med1m_formituinst,1061451,"69,9806107865905","6,41719631210566","63,5634144744848","-1,80938921340955","40,51","67,08","71,79","74,28","81,18",
clima,med3m_formituinst,1061451,"69,3474497362468","5,47997115879073","63,8674785774561","-0,712550263753187","44,33","67,1","70,06","73,07","78,95",
clima,med12m_umidinst,1061451,"69,2438942164522","4,34858455142563","64,8953096650266","-0,016105783547801","21,91","66,66","69,26","72,08","80,93",
clima,med6m_formituinst,1061451,"69,3790603145942","4,25120918503999","65,1278511295542","-0,600939685405791","52,65","67,9","69,98","71,97","78,35",
clima,med12m_formituinst,1061451,"70,1153733426981","3,22832222809837","66,8870511145997","-0,784626657301928","57,77","68,72","70,9","72,25","77,43",
clima,med12m_prer_soja,1061451,"75,9307436517773","5,10497165652948","70,8257719952478","1,54074365177729","70,66","70,99","74,39","81,29","84,43",
clima,med6m_prer_soja,1061451,"78,9312100796626","7,70358490689426","71,2276251727684","0,971210079662626","69,22","71,24","77,96","88,21","89,15",
clima,med3m_prer_soja,1061451,"80,6104025620783","8,49259844935001","72,1178041127283","-1,87959743792166","67,87","71,73","82,49","88,46","91,88",
clima,med1m_prer_soja,1061451,"81,1350090585185","8,49994762503481","72,6350614334837","-1,7149909414815","65,84","72,39","82,85","88,29","95,64",
clima,med7d_formitumax,1061451,"82,7238467626344","9,94260836464742","72,781238397987","-2,18615323736557","31,8","81,05","84,91","88,14","98,5",
clima,med7d_prer_soja,1061451,"81,1715171874322","8,37441267891305","72,7971045085191","-1,51848281256784","64,52","72,77","82,69","88,02","96,42",
clima,med1m_formitumax,1061451,"82,4321773403577","9,14622683932119","73,2859505010365","-2,20782265964232","38,47","80,35","84,64","87,59","95,93",
clima,med3m_formitumax,1061451,"81,9429868170862","7,95239465065416","73,9905921664321","-1,83701318291376",44,"79,76","83,78","86,9","92,66",
clima,med6m_formitumax,1061451,"81,9546915118098","6,32809547921055","75,6265960325993","-0,765308488190158","57,95","80,02","82,72","86,67","91,7",
clima,med7d_umidmax,1017322,"87,1278491568989","9,74180790202916","77,3860412548698","-2,54215084310107",7,"83,44","89,67","93,67",100,
clima,med12m_formitumax,1061451,"82,4226377384338","4,8257861878968","77,596851550537","-0,447362261566184","62,09","80,19","82,87","85,34","91,7",
clima,med1m_umidmax,1039090,"87,0466009200343","8,53998299822342","78,5066179218109","-1,70339907996571",10,"83,34","88,75","92,88",100,
clima,med3m_umidmax,1061271,"86,8796431165164","7,3960387155216","79,4836044009948","-0,8803568834836","21,19","83,12","87,76","92,41","99,04",
clima,med6m_umidmax,1061451,"87,5804747086807","6,45543874968237","81,1250359589983","-0,799525291319341","21,19","83,93","88,38","92,31","99,04",
clima,med12m_umidmax,1061451,"88,4365353463837","5,67165832134366","82,76487702504","-0,14346465361632","21,19","86,04","88,58","92,88","99,04",
clima,med3m_prer_boi,1061451,"142,070400197686","5,10019168186694","136,970208515819","-0,379599802313606","128,32","140,4","142,45","145,76","148,46",
clima,med6m_prer_boi,1061451,"141,08887151635","3,96922917036132","137,119642345989","-1,66112848364992","133,73","137,1","142,75","143,97","147,61",
clima,med1m_prer_boi,1061451,"142,887313131102","5,52011314137109","137,36719998973","-0,902686868898456","124,6","140,35","143,79","146,53","150,26",
clima,med7d_prer_boi,1061451,"143,260351622373","5,57055726662416","137,689794355748","-1,05964837762738","123,98","140,31","144,32","146,76","152,27",
clima,med12m_prer_boi,1061451,"140,843756687918","2,63603683372144","138,207719854196","0,803756687917655","136,85","138,61","140,04","143,55","147,61",
animal,peso,1061451,"268,06","46,51","221,55","-3,54","102,00","236,50","271,60","299,00","1.566,00",?
ano,ano,1061451,"2017,68357182762","0,465082345276321","2017,21848948234","-0,316428172379119",2017,2017,2018,2018,2018,
clima,tot6m_chuva,1061451,"97279,7107481629","93186,4110296358","4093,29971852705","27696,2107481629",0,29360,"69583,5","138714,8","745816,4",
clima,tot12m_chuva,1061451,"224271,611081399","192381,503751428","31890,1073299711","52261,6110813994","19,2","88142,6",172010,"307474,2",1535736,
,,,,,,,,,,,,
,id_animal,1061451,530726,"306414,65462658",,,1,"265363,5",530726,"796088,5",1061451,
,estabelecimento_identificador,1061451,"3913,34060639634","2063,33703479784",,,1,1712,4403,5349,8255,
,identificador_lote,1061451,"46933,5608558473","22441,5550515898",,,2,25040,49413,68622,80848,
